Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,469,-,1.0,1.0,-,0.5,0.5,-,1.5,1.5,-,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,0.2,93.3,93.5,0.1,141.7,141.8,0.3,235.0,235.3,0.3,247.0,247.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,471,-,38.9,38.9,-,72.6,72.6,-,111.4,111.4,-,114.1,114.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,472,-,4.9,4.9,-,10.0,10.0,-,14.9,14.9,-,17.2,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,473,-,4.7,4.7,-,3.4,3.4,-,8.1,8.1,-,8.3,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,474,-,2.6,2.6,-,1.5,1.5,-,4.1,4.1,-,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,475,-,9.7,9.7,-,7.4,7.4,-,17.0,17.0,-,18.7,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,476,*,*,4.8,*,*,7.3,*,*,12.1,*,*,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,477,0.1,25.9,26.1,0.1,38.6,38.6,0.2,64.5,64.7,0.2,67.9,68.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,478,*,*,0.1,*,*,0.1,*,*,0.2,*,*,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,479,-,1.9,1.9,-,1.0,1.0,-,2.8,2.8,-,3.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,1.7,36.5,38.2,0.2,5.7,5.9,1.9,42.2,44.1,1.9,45.2,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,491,*,*,4.9,*,*,0.2,*,*,5.1,*,*,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,492,*,*,*,*,*,*,*,*,0.5,*,*,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,493,1.1,17.1,18.2,0.1,3.0,3.2,1.3,20.1,21.4,1.3,21.4,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,494,*,*,14.6,*,*,2.6,*,*,17.1,*,*,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,495,*,*,*,*,*,*,*,*,-,*,*,-,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,*,*,1.8,*,*,0.3,*,*,2.1,*,*,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,501,*,*,1.3,*,*,0.3,*,*,1.5,*,*,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,502,-,0.4,0.4,-,0.1,0.1,-,0.5,0.5,-,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,503,-,-,-,-,-,-,-,-,-,-,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,504,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,-,2.7,2.7,-,0.4,0.4,-,3.0,3.0,-,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,511,-,2.6,2.6,-,0.3,0.3,-,2.9,2.9,-,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,512,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,1.6,19.3,20.9,0.3,2.5,2.7,1.8,21.8,23.6,1.8,22.0,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,521,0.1,7.9,7.9,-,0.8,0.8,0.1,8.6,8.7,0.1,8.8,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,522,1.5,11.5,13.0,0.2,1.7,1.9,1.7,13.1,14.8,1.7,13.2,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,*,*,16.5,*,*,3.7,*,*,20.2,*,*,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,531,*,*,11.8,*,*,2.6,*,*,14.4,*,*,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,532,-,4.7,4.7,-,1.1,1.1,-,5.8,5.8,-,6.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,-,24.6,24.7,-,23.2,23.2,0.1,47.8,47.9,0.1,52.6,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,551,*,*,22.0,*,*,20.7,*,*,42.7,*,*,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,552,*,*,1.4,*,*,1.1,*,*,2.5,*,*,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,553,-,1.0,1.0,-,0.9,0.9,-,1.9,1.9,-,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,559,*,*,0.3,*,*,0.5,*,*,0.8,*,*,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,1.0,48.5,49.4,2.4,63.9,66.3,3.4,112.3,115.7,3.4,118.6,121.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,561,-,28.2,28.2,-,36.6,36.6,-,64.8,64.8,-,68.6,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,562,1.0,6.6,7.5,2.3,6.1,8.4,3.2,12.7,15.9,3.2,13.4,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,563,-,13.7,13.7,0.1,21.1,21.2,0.1,34.9,35.0,0.1,36.6,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,-,5.4,5.4,-,3.5,3.5,-,8.9,8.9,-,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,581,-,5.2,5.2,-,3.1,3.1,-,8.3,8.3,-,8.7,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,582,-,0.2,0.2,-,0.4,0.4,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,*,*,3.4,*,*,2.3,*,*,5.7,*,*,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,591,*,*,3.3,*,*,2.2,*,*,5.5,*,*,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,592,-,0.1,0.1,-,0.1,0.1,-,0.2,0.2,-,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,*,*,0.7,*,*,0.1,*,*,0.8,*,*,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,601,*,*,0.5,*,*,-,*,*,0.5,*,*,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,602,*,*,0.2,*,*,-,*,*,0.2,*,*,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,*,*,15.5,*,*,2.9,*,*,18.5,*,*,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,611,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,
,612,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,
,613,-,*,*,-,*,*,-,6.0,6.0,-,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,619,*,*,9.6,*,*,1.3,*,*,10.9,*,*,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,*,*,24.2,*,*,1.7,*,*,25.8,*,*,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,620,*,*,24.2,*,*,1.7,*,*,25.8,*,*,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,*,*,2.0,*,*,0.5,*,*,2.5,*,*,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,631,*,*,1.6,*,*,0.4,*,*,2.0,*,*,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,639,-,0.4,0.4,-,0.1,0.1,-,0.5,0.5,-,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,24.1,13.0,37.1,5.2,3.1,8.3,29.3,16.1,45.4,29.3,16.6,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,641,22.5,10.7,33.2,4.9,2.7,7.6,27.4,13.5,40.9,27.4,13.5,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,642,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,643,-,0.5,0.5,-,0.1,0.1,-,0.5,0.5,-,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,649,1.6,1.7,3.3,0.3,0.3,0.6,1.9,2.0,3.9,1.9,2.4,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,3.0,9.3,12.2,0.4,1.7,2.1,3.3,11.0,14.4,3.3,11.1,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,651,3.0,9.3,12.2,0.4,1.7,2.1,3.3,11.0,14.4,3.3,11.1,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,652,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,653,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,2.1,19.4,21.5,0.6,3.5,4.1,2.7,22.9,25.6,2.7,23.3,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,661,*,*,7.4,*,*,1.5,*,*,8.9,*,*,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,662,1.3,9.7,11.0,-,2.2,2.2,1.3,11.9,13.2,1.3,12.0,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,663,*,*,3.2,*,*,0.3,*,*,3.5,*,*,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,2.6,14.6,17.2,0.4,4.9,5.4,3.0,19.6,22.6,3.0,24.8,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,681,*,*,0.1,*,*,-,*,*,0.1,*,*,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,682,0.8,8.0,8.9,0.3,3.4,3.7,1.1,11.4,12.5,1.1,14.7,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,683,*,*,8.3,*,*,1.6,*,*,9.9,*,*,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,1.9,32.7,34.5,0.5,6.9,7.5,2.4,39.6,42.0,2.4,45.1,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,691,0.9,18.3,19.2,0.3,4.4,4.7,1.2,22.7,23.9,1.2,26.8,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,692,0.9,14.4,15.3,0.2,2.5,2.8,1.2,16.9,18.1,1.2,18.3,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,1.4,16.7,18.1,0.1,3.2,3.3,1.5,19.9,21.4,1.5,22.9,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,701,*,*,6.8,*,*,1.1,*,*,7.9,*,*,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,702,*,*,11.3,*,*,2.2,*,*,13.5,*,*,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,1.5,40.7,42.2,0.2,5.6,5.8,1.6,46.3,48.0,1.6,51.0,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,711,1.2,38.5,39.8,0.1,5.2,5.3,1.4,43.7,45.1,1.4,47.8,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,712,0.2,2.2,2.4,-,0.4,0.5,0.3,2.6,2.9,0.3,3.1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,1.8,6.1,7.9,0.3,0.5,0.7,2.0,6.6,8.7,2.0,6.6,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,721,1.8,5.6,7.4,0.3,0.4,0.7,2.0,6.0,8.1,2.0,6.0,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,722,-,0.5,0.5,-,0.1,0.1,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,-,3.2,3.2,-,0.7,0.7,-,3.9,3.9,-,4.2,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,731,-,2.9,2.9,-,0.4,0.4,-,3.3,3.3,-,3.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,732,-,0.3,0.3,-,0.3,0.3,-,0.6,0.6,-,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,*,*,5.8,*,*,2.5,*,*,8.3,*,*,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,741,-,1.1,1.1,-,0.4,0.4,-,1.6,1.6,-,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,742,-,0.5,0.5,-,0.3,0.3,-,0.8,0.8,-,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,743,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,749,*,*,4.1,*,*,1.7,*,*,5.9,*,*,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,*,*,2.5,*,*,1.1,*,*,3.6,*,*,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,750,*,*,2.5,*,*,1.1,*,*,3.6,*,*,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,*,*,11.8,*,*,2.1,0.1,13.9,13.9,0.1,14.3,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,771,*,*,1.9,*,*,0.3,*,*,2.3,*,*,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,772,-,1.2,1.2,-,0.7,0.7,-,1.9,1.9,-,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,773,*,*,8.6,*,*,1.1,*,*,9.7,*,*,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,774,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,*,*,28.6,*,*,12.0,0.4,40.3,40.7,0.4,40.5,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,781,*,*,3.4,*,*,1.7,*,*,5.1,*,*,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,782,*,*,25.2,*,*,10.3,*,*,35.5,*,*,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,783,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,0.4,5.1,5.5,0.4,1.9,2.3,0.8,7.0,7.8,0.8,7.3,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,791,*,*,4.9,*,*,1.8,*,*,6.8,*,*,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,799,*,*,0.6,*,*,0.5,*,*,1.1,*,*,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,0.2,11.4,11.5,-,1.8,1.8,0.2,13.1,13.4,0.2,13.4,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,801,0.2,10.8,11.0,-,1.6,1.6,0.2,12.4,12.6,0.2,12.7,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,802,*,*,0.5,*,*,0.2,*,*,0.7,*,*,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,803,*,*,0.1,*,*,-,*,*,0.1,*,*,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,6.2,23.9,30.0,5.6,35.8,41.3,11.7,59.7,71.4,11.7,60.8,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,811,*,*,10.8,*,*,14.0,*,*,24.8,*,*,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,812,5.9,11.1,16.9,5.5,21.7,27.2,11.4,32.8,44.2,11.4,33.1,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,813,*,*,2.3,*,*,0.1,*,*,2.4,*,*,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,0.4,19.1,19.4,0.3,5.8,6.1,0.7,24.8,25.5,0.7,26.0,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,821,*,*,1.1,*,*,0.2,*,*,1.3,*,*,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,822,0.1,9.0,9.2,0.2,2.8,3.1,0.4,11.8,12.2,0.4,11.9,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,823,*,*,0.4,*,*,0.2,*,*,0.6,*,*,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,829,*,*,8.8,*,*,2.6,*,*,11.4,*,*,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,121.3,1.0,122.3,33.5,0.4,34.0,154.8,1.5,156.3,154.8,1.5,156.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,841,*,*,77.7,*,*,25.3,*,*,103.0,*,*,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,842,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,
,843,*,-,*,*,-,*,*,-,*,*,-,*,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,65.8,47.3,113.1,53.7,24.5,78.3,119.6,71.8,191.3,119.7,72.6,192.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,851,*,*,3.3,*,*,2.2,*,*,5.5,*,*,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,852,27.5,3.6,31.1,31.4,1.8,33.2,58.8,5.5,64.3,58.8,5.6,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,853,29.6,7.4,37.0,16.5,4.1,20.6,46.1,11.5,57.6,46.2,11.7,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,854,3.0,28.2,31.2,2.2,14.9,17.1,5.2,43.1,48.3,5.3,43.2,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,855,3.5,6.9,10.3,2.1,3.0,5.1,5.6,9.9,15.5,5.6,10.3,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,856,*,*,0.1,*,*,0.1,*,*,0.2,*,*,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,101.4,20.0,121.4,83.3,20.8,104.0,184.6,40.8,225.4,184.6,46.6,231.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,861,79.1,7.8,87.0,67.6,6.3,73.9,146.7,14.2,160.9,146.7,14.2,160.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,862,1.7,9.1,10.8,2.1,12.0,14.1,3.8,21.1,24.9,3.8,26.7,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,869,20.5,3.1,23.6,13.6,2.4,16.0,34.1,5.5,39.6,34.1,5.7,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,4.1,26.0,30.1,4.1,21.1,25.2,8.2,47.1,55.3,8.2,47.3,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,871,0.3,10.7,11.0,0.1,7.7,7.7,0.4,18.3,18.7,0.4,18.4,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,872,0.1,1.0,1.1,0.2,1.3,1.5,0.3,2.3,2.6,0.3,2.3,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,873,2.1,7.2,9.3,2.6,6.7,9.3,4.7,14.0,18.7,4.7,14.1,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,879,1.5,7.1,8.6,1.3,5.4,6.7,2.8,12.5,15.3,2.8,12.5,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,22.2,31.0,53.3,19.4,26.6,46.0,41.7,57.6,99.3,41.7,57.8,99.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,881,3.0,10.6,13.6,3.8,9.5,13.3,6.8,20.1,26.9,6.8,20.1,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,889,19.3,20.4,39.7,15.6,17.1,32.7,34.9,37.5,72.4,34.9,37.6,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,*,*,2.3,*,*,2.7,*,*,5.0,*,*,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,900,*,*,2.3,*,*,2.7,*,*,5.0,*,*,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,3.8,1.9,5.7,3.8,1.2,5.0,7.6,3.1,10.6,7.6,3.1,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,910,3.8,1.9,5.7,3.8,1.2,5.0,7.6,3.1,10.6,7.6,3.1,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,*,*,4.9,*,*,5.6,*,*,10.5,*,*,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,920,*,*,4.9,*,*,5.6,*,*,10.5,*,*,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,3.5,12.3,15.8,2.0,17.4,19.5,5.6,29.7,35.3,5.6,30.6,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,931,2.7,11.4,14.1,1.7,15.8,17.6,4.4,27.2,31.6,4.4,27.9,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,932,0.9,0.9,1.8,0.3,1.6,1.9,1.2,2.5,3.7,1.2,2.7,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,1.5,9.0,10.5,1.7,8.3,10.0,3.3,17.2,20.5,3.3,17.2,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,941,*,*,2.6,*,*,0.3,*,*,2.9,*,*,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,942,*,*,0.5,*,*,0.1,*,*,0.6,*,*,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,949,1.2,6.2,7.3,1.7,7.9,9.6,2.8,14.1,17.0,2.8,14.1,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,0.2,2.9,3.1,-,0.6,0.7,0.2,3.5,3.7,0.2,3.7,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,951,*,*,2.1,*,*,0.3,*,*,2.4,*,*,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,952,*,*,1.0,*,*,0.4,*,*,1.4,*,*,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,0.3,8.1,8.3,0.2,5.9,6.1,0.4,14.0,14.4,0.4,17.8,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,960,0.3,8.1,8.3,0.2,5.9,6.1,0.4,14.0,14.4,0.4,17.8,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Employment is defined as employees plus working proprietors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Figures may not add up due to rounding. Figures are rounded to the nearest thousand and to one decimal place. For example 2.4 is equal to 2,400, and represents a figure in the range 2,350 - 2,449.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Cells containing an asterisk (*) represent disclosive data that cannot be published.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Cells containing a hyphen (-) represent a zero or less than 50.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*01 includes farm agriculture data. Farm agriculture estimates are not available below this level so estimates at a 3-digit level only include non-farm agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,