Table 5 - Regional level employment by 2 & 3 digit SIC2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wales,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
01*,,*,*,9.7,*,*,5.3,*,*,15.0,*,*,62.2,,,,,,,,,,,,,
,016,*,*,0.3,*,*,-,*,*,0.3,*,*,0.8,,,,,,,,,,,,,
,017,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
02,,*,*,0.6,*,*,0.1,*,*,0.6,*,*,1.2,,,,,,,,,,,,,
,021,*,*,0.5,*,*,0.1,*,*,0.6,*,*,1.0,,,,,,,,,,,,,
,022,-,-,-,-,-,-,-,-,-,-,0.1,0.1,,,,,,,,,,,,,
,023,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,024,-,-,-,-,-,-,-,-,-,-,0.1,0.1,,,,,,,,,,,,,
03,,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.4,0.4,,,,,,,,,,,,,
,031,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.3,0.3,,,,,,,,,,,,,
,032,-,-,-,-,-,-,-,-,-,-,0.1,0.1,,,,,,,,,,,,,
05,,-,*,*,-,*,*,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,051,-,*,*,-,*,*,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,052,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
06,,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,061,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,062,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
07,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,071,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,072,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
08,,-,1.1,1.1,-,-,-,-,1.1,1.1,-,1.2,1.2,,,,,,,,,,,,,
,081,-,1.0,1.0,-,-,-,-,1.0,1.0,-,1.0,1.0,,,,,,,,,,,,,
,089,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
09,,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,091,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,099,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
10,,-,17.1,17.1,-,1.3,1.3,-,18.4,18.4,-,18.7,18.7,,,,,,,,,,,,,
,101,-,3.9,3.9,-,0.1,0.1,-,4.0,4.0,-,4.1,4.1,,,,,,,,,,,,,
,102,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,103,-,0.9,0.9,-,-,-,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,
,104,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,105,-,1.5,1.5,-,0.1,0.1,-,1.6,1.6,-,1.7,1.7,,,,,,,,,,,,,
,106,-,0.9,0.9,-,-,-,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,
,107,-,4.5,4.5,-,0.7,0.7,-,5.1,5.1,-,5.2,5.2,,,,,,,,,,,,,
,108,-,4.7,4.7,-,0.3,0.3,-,5.0,5.0,-,5.0,5.0,,,,,,,,,,,,,
,109,-,0.7,0.7,-,0.1,0.1,-,0.7,0.7,-,0.7,0.7,,,,,,,,,,,,,
11,,-,0.8,0.8,-,-,-,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,
,110,-,0.8,0.8,-,-,-,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,
12,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,120,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
13,,-,1.5,1.5,-,0.2,0.2,-,1.7,1.7,-,1.9,1.9,,,,,,,,,,,,,
,131,-,*,*,-,*,*,-,-,-,-,-,-,,,,,,,,,,,,,
,132,-,*,*,-,*,*,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,133,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.2,0.2,,,,,,,,,,,,,
,139,-,1.3,1.3,-,0.2,0.2,-,1.5,1.5,-,1.7,1.7,,,,,,,,,,,,,
14,,-,0.2,0.2,-,0.1,0.1,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,141,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,142,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,143,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
15,,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,151,-,-,-,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,152,-,-,-,-,-,-,-,-,-,-,0.1,0.1,,,,,,,,,,,,,
16,,-,2.9,2.9,-,0.3,0.3,-,3.2,3.2,-,3.6,3.6,,,,,,,,,,,,,
,161,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.6,0.6,,,,,,,,,,,,,
,162,-,2.4,2.4,-,0.3,0.3,-,2.7,2.7,-,3.0,3.0,,,,,,,,,,,,,
17,,*,*,4.2,*,*,0.1,*,*,4.3,*,*,4.4,,,,,,,,,,,,,
,171,-,0.9,0.9,-,0.1,0.1,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,
,172,*,*,3.4,*,*,0.1,*,*,3.4,*,*,3.5,,,,,,,,,,,,,
18,,-,4.0,4.0,-,0.3,0.3,-,4.3,4.3,-,4.7,4.7,,,,,,,,,,,,,
,181,-,3.9,3.9,-,0.3,0.3,-,4.3,4.3,-,4.6,4.6,,,,,,,,,,,,,
,182,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
19,,-,1.0,1.0,-,-,-,-,1.0,1.0,-,1.0,1.0,,,,,,,,,,,,,
,191,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,192,-,1.0,1.0,-,-,-,-,1.0,1.0,-,1.0,1.0,,,,,,,,,,,,,
20,,-,5.4,5.4,-,0.2,0.2,-,5.6,5.6,-,5.7,5.7,,,,,,,,,,,,,
,201,-,2.7,2.7,-,0.1,0.1,-,2.8,2.8,-,2.9,2.9,,,,,,,,,,,,,
,202,-,*,*,-,*,*,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,203,-,*,*,-,*,*,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,204,-,1.6,1.6,-,0.1,0.1,-,1.7,1.7,-,1.7,1.7,,,,,,,,,,,,,
,205,-,0.5,0.5,-,-,-,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,206,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
21,,*,*,2.5,*,*,0.2,*,*,2.7,*,*,2.7,,,,,,,,,,,,,
,211,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,212,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,
22,,-,7.2,7.2,-,0.3,0.3,-,7.5,7.5,-,7.7,7.7,,,,,,,,,,,,,
,221,-,0.7,0.7,-,-,-,-,0.7,0.7,-,0.8,0.8,,,,,,,,,,,,,
,222,-,6.5,6.5,-,0.2,0.2,-,6.7,6.7,-,7.0,7.0,,,,,,,,,,,,,
23,,-,3.4,3.4,-,0.2,0.2,-,3.6,3.6,-,3.7,3.7,,,,,,,,,,,,,
,231,-,1.0,1.0,-,-,-,-,1.1,1.1,-,1.1,1.1,,,,,,,,,,,,,
,232,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,233,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,234,-,*,*,-,*,*,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,235,-,*,*,-,-,-,-,*,*,-,*,*,,,,,,,,,,,,,
,236,-,0.8,0.8,-,-,-,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
,237,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,239,-,1.0,1.0,-,-,-,-,1.0,1.0,-,1.1,1.1,,,,,,,,,,,,,
24,,-,9.8,9.8,-,0.2,0.2,-,9.9,9.9,-,9.9,9.9,,,,,,,,,,,,,
,241,-,7.2,7.2,-,0.1,0.1,-,7.3,7.3,-,7.3,7.3,,,,,,,,,,,,,
,242,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,243,-,0.4,0.4,-,-,-,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,244,-,1.0,1.0,-,-,-,-,1.1,1.1,-,1.1,1.1,,,,,,,,,,,,,
,245,-,0.9,0.9,-,-,-,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,
25,,-,12.4,12.4,-,0.6,0.6,-,13.0,13.0,-,13.6,13.6,,,,,,,,,,,,,
,251,-,3.8,3.8,-,0.2,0.2,-,3.9,3.9,-,4.1,4.1,,,,,,,,,,,,,
,252,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
,253,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,254,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,255,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,256,-,3.6,3.6,-,0.2,0.2,-,3.9,3.9,-,4.1,4.1,,,,,,,,,,,,,
,257,-,0.6,0.6,-,-,-,-,0.6,0.6,-,0.7,0.7,,,,,,,,,,,,,
,259,-,2.9,2.9,-,0.1,0.1,-,3.0,3.0,-,3.1,3.1,,,,,,,,,,,,,
26,,*,*,6.1,*,*,0.4,*,*,6.5,*,*,6.6,,,,,,,,,,,,,
,261,*,*,2.2,*,*,0.1,*,*,2.3,*,*,2.4,,,,,,,,,,,,,
,262,-,*,*,-,*,*,-,-,-,-,-,-,,,,,,,,,,,,,
,263,-,1.2,1.2,-,0.1,0.1,-,1.3,1.3,-,1.3,1.3,,,,,,,,,,,,,
,264,-,*,*,-,*,*,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,265,-,1.7,1.7,-,0.1,0.1,-,1.8,1.8,-,1.8,1.8,,,,,,,,,,,,,
,266,-,0.1,0.1,-,0.1,0.1,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,267,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.6,0.6,,,,,,,,,,,,,
,268,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
27,,*,*,4.5,*,*,0.1,*,*,4.6,*,*,4.6,,,,,,,,,,,,,
,271,-,1.0,1.0,-,-,-,-,1.0,1.0,-,1.0,1.0,,,,,,,,,,,,,
,272,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,273,-,1.3,1.3,-,0.1,0.1,-,1.4,1.4,-,1.4,1.4,,,,,,,,,,,,,
,274,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,275,-,0.7,0.7,-,-,-,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
,279,*,*,0.5,*,*,-,*,*,0.5,*,*,0.6,,,,,,,,,,,,,
28,,*,*,4.9,*,*,0.3,*,*,5.2,*,*,5.5,,,,,,,,,,,,,
,281,*,*,1.0,*,*,-,*,*,1.0,*,*,1.0,,,,,,,,,,,,,
,282,-,2.7,2.7,-,0.2,0.2,-,2.9,2.9,-,3.1,3.1,,,,,,,,,,,,,
,283,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,284,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,289,-,1.0,1.0,-,0.1,0.1,-,1.1,1.1,-,1.2,1.2,,,,,,,,,,,,,
29,,*,*,7.8,*,*,0.3,*,*,8.1,*,*,8.1,,,,,,,,,,,,,
,291,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,292,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,
,293,*,*,4.6,*,*,0.3,*,*,4.9,*,*,4.9,,,,,,,,,,,,,
30,,*,*,8.3,*,*,0.3,*,*,8.6,*,*,8.6,,,,,,,,,,,,,
,301,-,0.6,0.6,-,-,-,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,302,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,303,*,*,7.3,*,*,0.3,*,*,7.6,*,*,7.6,,,,,,,,,,,,,
,304,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,309,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
31,,*,*,3.5,*,*,0.1,*,*,3.6,*,*,3.7,,,,,,,,,,,,,
,310,*,*,3.5,*,*,0.1,*,*,3.6,*,*,3.7,,,,,,,,,,,,,
32,,*,*,5.3,*,*,0.3,*,*,5.6,*,*,5.8,,,,,,,,,,,,,
,321,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,
,322,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,323,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,324,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,325,-,3.0,3.0,-,0.2,0.2,-,3.2,3.2,-,3.3,3.3,,,,,,,,,,,,,
,329,-,1.0,1.0,-,0.1,0.1,-,1.1,1.1,-,1.1,1.1,,,,,,,,,,,,,
33,,*,*,7.7,*,*,0.2,*,*,7.8,*,*,8.0,,,,,,,,,,,,,
,331,*,*,6.6,*,*,0.1,*,*,6.8,*,*,6.9,,,,,,,,,,,,,
,332,-,1.0,1.0,-,-,-,-,1.1,1.1,-,1.1,1.1,,,,,,,,,,,,,
35,,*,*,5.9,*,*,0.7,*,*,6.6,*,*,6.7,,,,,,,,,,,,,
,351,*,*,*,*,*,*,*,*,3.8,*,*,3.8,,,,,,,,,,,,,
,352,-,*,*,-,*,*,-,2.9,2.9,-,2.9,2.9,,,,,,,,,,,,,
,353,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
36,,*,*,2.0,*,*,-,*,*,2.0,*,*,2.0,,,,,,,,,,,,,
,360,*,*,2.0,*,*,-,*,*,2.0,*,*,2.0,,,,,,,,,,,,,
37,,-,0.5,0.5,-,-,-,-,0.5,0.6,0.1,0.6,0.6,,,,,,,,,,,,,
,370,-,0.5,0.5,-,-,-,-,0.5,0.6,0.1,0.6,0.6,,,,,,,,,,,,,
38,,2.1,4.4,6.4,0.2,0.5,0.7,2.3,4.8,7.1,2.3,4.9,7.2,,,,,,,,,,,,,
,381,1.2,1.1,2.2,0.2,0.1,0.3,1.3,1.2,2.5,1.3,1.2,2.6,,,,,,,,,,,,,
,382,*,*,1.8,*,*,0.1,*,*,1.9,*,*,1.9,,,,,,,,,,,,,
,383,*,*,2.4,*,*,0.3,*,*,2.7,*,*,2.7,,,,,,,,,,,,,
39,,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,390,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
41,,0.9,10.5,11.4,0.1,1.4,1.4,1.0,11.8,12.8,1.0,14.7,15.8,,,,,,,,,,,,,
,411,-,1.0,1.0,-,0.4,0.4,-,1.4,1.4,-,2.2,2.2,,,,,,,,,,,,,
,412,0.9,9.5,10.4,0.1,1.0,1.1,1.0,10.5,11.5,1.0,12.5,13.6,,,,,,,,,,,,,
42,,*,*,11.6,*,*,0.9,*,*,12.5,*,*,13.2,,,,,,,,,,,,,
,421,2.1,1.8,3.8,0.3,0.1,0.4,2.4,1.9,4.3,2.4,2.0,4.3,,,,,,,,,,,,,
,422,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.2,0.2,,,,,,,,,,,,,
,429,*,*,7.6,*,*,0.5,*,*,8.1,*,*,8.7,,,,,,,,,,,,,
43,,*,*,27.5,*,*,2.5,*,*,30.0,*,*,35.7,,,,,,,,,,,,,
,431,-,0.4,0.4,-,0.1,0.1,-,0.4,0.4,-,0.6,0.6,,,,,,,,,,,,,
,432,*,*,16.3,*,*,1.2,*,*,17.5,*,*,20.0,,,,,,,,,,,,,
,433,*,*,6.2,*,*,0.9,*,*,7.2,*,*,8.8,,,,,,,,,,,,,
,439,-,4.6,4.6,-,0.3,0.3,-,4.9,4.9,-,6.2,6.2,,,,,,,,,,,,,
45,,*,*,16.0,*,*,2.8,*,*,18.8,*,*,21.5,,,,,,,,,,,,,
,451,-,6.3,6.3,-,1.1,1.1,-,7.5,7.5,-,8.1,8.1,,,,,,,,,,,,,
,452,*,*,6.3,*,*,0.9,*,*,7.2,*,*,8.8,,,,,,,,,,,,,
,453,-,3.0,3.0,-,0.7,0.7,-,3.7,3.7,-,4.1,4.1,,,,,,,,,,,,,
,454,-,0.3,0.3,-,0.1,0.1,-,0.4,0.4,-,0.5,0.5,,,,,,,,,,,,,
46,,*,*,27.7,*,*,5.4,*,*,33.1,*,*,35.3,,,,,,,,,,,,,
,461,-,1.5,1.5,-,0.6,0.6,-,2.1,2.1,-,2.4,2.4,,,,,,,,,,,,,
,462,-,0.4,0.4,-,0.1,0.1,-,0.5,0.5,-,0.7,0.7,,,,,,,,,,,,,
,463,-,6.2,6.2,-,1.4,1.4,-,7.6,7.6,-,8.0,8.0,,,,,,,,,,,,,
,464,*,*,4.8,*,*,1.0,*,*,5.8,*,*,6.0,,,,,,,,,,,,,
,465,-,0.9,0.9,-,-,-,-,1.0,1.0,-,1.2,1.2,,,,,,,,,,,,,
,466,-,4.3,4.3,-,0.6,0.6,-,4.9,4.9,-,5.4,5.4,,,,,,,,,,,,,
,467,-,8.4,8.4,-,1.4,1.4,-,9.8,9.8,-,10.2,10.2,,,,,,,,,,,,,
,469,*,*,1.1,*,*,0.3,*,*,1.4,*,*,1.5,,,,,,,,,,,,,
47,,0.1,50.7,50.8,0.2,82.0,82.2,0.4,132.7,133.0,0.4,140.9,141.2,,,,,,,,,,,,,
