Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,471,-,35.9,35.9,-,67.3,67.3,-,103.2,103.2,-,106.3,106.3,,,,,,,,,,,,,
,472,-,6.9,6.9,-,8.0,8.0,-,14.9,14.9,-,17.6,17.6,,,,,,,,,,,,,
,473,-,1.6,1.6,-,2.0,2.0,-,3.7,3.7,-,3.7,3.7,,,,,,,,,,,,,
,474,-,4.6,4.6,-,1.1,1.1,-,5.7,5.7,-,5.9,5.9,,,,,,,,,,,,,
,475,-,15.1,15.1,-,8.7,8.7,-,23.8,23.8,-,26.7,26.7,,,,,,,,,,,,,
,476,*,*,4.4,*,*,5.9,*,*,10.3,*,*,11.4,,,,,,,,,,,,,
,477,*,*,26.5,*,*,40.8,-,67.3,67.3,-,72.4,72.5,,,,,,,,,,,,,
,478,*,*,0.2,*,*,0.2,-,0.4,0.4,-,0.5,0.5,,,,,,,,,,,,,
,479,*,*,4.6,*,*,3.2,*,*,7.8,*,*,10.1,,,,,,,,,,,,,
49,,0.5,33.7,34.2,0.4,9.2,9.6,1.0,42.9,43.8,1.0,46.3,47.3,,,,,,,,,,,,,
,491,-,3.1,3.1,-,0.2,0.2,-,3.2,3.2,-,3.2,3.2,,,,,,,,,,,,,
,492,-,*,*,-,*,*,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,493,*,*,*,*,*,*,*,*,16.0,*,*,16.9,,,,,,,,,,,,,
,494,*,*,18.3,*,*,6.0,*,*,24.2,*,*,26.8,,,,,,,,,,,,,
,495,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
50,,-,0.2,0.2,-,0.3,0.3,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,501,-,0.1,0.1,-,0.1,0.1,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,502,-,0.1,0.1,-,0.1,0.1,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,503,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,504,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
51,,-,1.6,1.6,-,0.3,0.3,-,1.9,1.9,-,1.9,1.9,,,,,,,,,,,,,
,511,-,1.4,1.4,-,0.2,0.2,-,1.7,1.7,-,1.7,1.7,,,,,,,,,,,,,
,512,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
52,,*,*,25.1,*,*,4.0,*,*,29.2,*,*,29.6,,,,,,,,,,,,,
,521,*,*,17.1,*,*,2.2,*,*,19.2,*,*,19.2,,,,,,,,,,,,,
,522,0.5,7.6,8.1,0.1,1.8,1.8,0.6,9.3,9.9,0.6,9.8,10.4,,,,,,,,,,,,,
53,,*,*,25.6,*,*,5.2,*,*,30.8,*,*,32.1,,,,,,,,,,,,,
,531,*,*,11.6,*,*,2.2,*,*,13.8,*,*,13.8,,,,,,,,,,,,,
,532,-,14.1,14.1,-,2.9,2.9,-,17.0,17.0,-,18.3,18.3,,,,,,,,,,,,,
55,,*,*,11.9,*,*,10.7,*,*,22.6,*,*,23.3,,,,,,,,,,,,,
,551,-,11.0,11.0,-,10.2,10.2,-,21.1,21.1,-,21.8,21.8,,,,,,,,,,,,,
,552,-,0.3,0.3,-,0.2,0.2,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,553,-,0.5,0.5,-,0.2,0.2,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
,559,*,*,0.1,*,*,-,*,*,0.1,*,*,0.1,,,,,,,,,,,,,
56,,*,*,36.6,*,*,63.2,*,*,99.7,*,*,105.6,,,,,,,,,,,,,
,561,-,15.7,15.7,-,22.7,22.7,-,38.4,38.4,-,41.4,41.4,,,,,,,,,,,,,
,562,0.4,5.8,6.1,0.6,8.6,9.2,1.0,14.4,15.4,1.0,14.7,15.7,,,,,,,,,,,,,
,563,*,*,14.8,*,*,31.2,*,*,46.0,*,*,48.5,,,,,,,,,,,,,
58,,-,3.5,3.5,-,0.5,0.5,-,4.0,4.0,-,4.4,4.4,,,,,,,,,,,,,
,581,-,3.2,3.2,-,0.5,0.5,-,3.7,3.7,-,4.0,4.0,,,,,,,,,,,,,
,582,-,0.2,0.2,-,0.1,0.1,-,0.3,0.3,-,0.4,0.4,,,,,,,,,,,,,
59,,*,*,6.5,*,*,1.3,*,*,7.8,*,*,7.8,,,,,,,,,,,,,
,591,*,*,6.0,*,*,1.3,*,*,7.2,*,*,7.2,,,,,,,,,,,,,
,592,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
60,,-,0.3,0.3,-,0.1,0.1,-,0.4,0.4,-,0.5,0.5,,,,,,,,,,,,,
,601,-,*,*,-,*,*,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,602,-,*,*,-,*,*,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
61,,*,*,12.1,*,*,1.1,*,*,13.2,*,*,13.9,,,,,,,,,,,,,
,611,-,0.1,0.1,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,612,-,0.3,0.3,-,-,-,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,613,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,619,*,*,11.6,*,*,1.0,*,*,12.7,*,*,13.3,,,,,,,,,,,,,
62,,0.1,35.6,35.7,-,3.8,3.9,0.2,39.4,39.6,0.2,42.5,42.7,,,,,,,,,,,,,
,620,0.1,35.6,35.7,-,3.8,3.9,0.2,39.4,39.6,0.2,42.5,42.7,,,,,,,,,,,,,
63,,*,*,2.9,*,*,0.6,*,*,3.5,*,*,3.5,,,,,,,,,,,,,
,631,*,*,2.2,*,*,0.5,*,*,2.7,*,*,2.7,,,,,,,,,,,,,
,639,-,0.6,0.6,-,0.1,0.1,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
64,,10.8,15.9,26.7,2.5,5.3,7.8,13.2,21.2,34.5,13.2,22.8,36.1,,,,,,,,,,,,,
,641,*,*,24.2,*,*,6.6,*,*,30.8,*,*,31.2,,,,,,,,,,,,,
,642,-,0.2,0.2,-,0.2,0.2,-,0.4,0.4,-,0.6,0.6,,,,,,,,,,,,,
,643,-,-,-,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,649,*,*,2.3,*,*,1.0,*,*,3.3,*,*,4.2,,,,,,,,,,,,,
65,,*,*,7.5,*,*,1.4,*,*,8.8,*,*,8.8,,,,,,,,,,,,,
,651,*,*,7.5,*,*,1.4,*,*,8.8,*,*,8.8,,,,,,,,,,,,,
,652,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,653,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
66,,*,*,23.8,*,*,4.8,*,*,28.7,*,*,29.5,,,,,,,,,,,,,
,661,*,*,8.1,*,*,1.5,1.2,8.3,9.6,1.2,8.3,9.6,,,,,,,,,,,,,
,662,*,*,14.7,*,*,3.2,*,*,17.9,*,*,18.7,,,,,,,,,,,,,
,663,*,*,1.0,*,*,0.2,*,*,1.2,*,*,1.2,,,,,,,,,,,,,
68,,1.9,17.5,19.4,0.5,7.0,7.6,2.5,24.5,27.0,2.6,32.1,34.7,,,,,,,,,,,,,
,681,-,0.1,0.1,-,0.1,0.1,-,0.2,0.2,-,0.4,0.4,,,,,,,,,,,,,
,682,0.3,11.2,11.4,0.1,4.0,4.1,0.3,15.2,15.5,0.4,21.2,21.6,,,,,,,,,,,,,
,683,1.7,6.2,7.9,0.4,3.0,3.4,2.1,9.2,11.3,2.3,10.4,12.7,,,,,,,,,,,,,
69,,0.8,22.1,22.9,0.3,8.0,8.3,1.1,30.1,31.2,1.1,33.9,34.9,,,,,,,,,,,,,
,691,*,*,11.5,*,*,3.6,*,*,15.1,-,17.6,17.7,,,,,,,,,,,,,
,692,*,*,11.4,*,*,4.6,*,*,16.0,1.0,16.2,17.3,,,,,,,,,,,,,
70,,0.7,23.8,24.5,0.3,4.2,4.4,1.0,27.9,28.9,1.0,32.0,33.0,,,,,,,,,,,,,
,701,*,*,13.2,*,*,1.6,*,*,14.8,*,*,14.8,,,,,,,,,,,,,
,702,*,*,11.3,*,*,2.8,0.9,13.2,14.1,0.9,17.2,18.1,,,,,,,,,,,,,
71,,1.2,22.8,24.0,0.2,4.6,4.8,1.4,27.4,28.8,1.4,31.1,32.4,,,,,,,,,,,,,
,711,*,*,19.9,*,*,3.9,*,*,23.8,*,*,26.4,,,,,,,,,,,,,
,712,*,*,4.1,*,*,0.9,*,*,5.0,*,*,6.0,,,,,,,,,,,,,
72,,0.3,2.1,2.5,-,0.2,0.2,0.4,2.3,2.7,0.4,2.3,2.7,,,,,,,,,,,,,
,721,*,*,2.4,*,*,0.2,*,*,2.6,*,*,2.6,,,,,,,,,,,,,
,722,*,*,0.1,*,*,-,*,*,0.1,*,*,0.1,,,,,,,,,,,,,
73,,-,3.6,3.6,-,2.2,2.2,-,5.8,5.8,-,6.3,6.3,,,,,,,,,,,,,
,731,-,1.7,1.7,-,0.6,0.6,-,2.3,2.3,-,2.6,2.6,,,,,,,,,,,,,
,732,-,1.9,1.9,-,1.6,1.6,-,3.5,3.5,-,3.7,3.7,,,,,,,,,,,,,
74,,*,*,3.2,*,*,1.0,*,*,4.2,*,*,6.1,,,,,,,,,,,,,
,741,-,0.7,0.7,-,0.2,0.2,-,0.9,0.9,-,1.5,1.5,,,,,,,,,,,,,
,742,-,0.4,0.4,-,0.1,0.1,-,0.5,0.5,-,0.7,0.7,,,,,,,,,,,,,
,743,-,-,-,-,0.1,0.1,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,749,*,*,2.1,*,*,0.6,*,*,2.7,*,*,3.8,,,,,,,,,,,,,
75,,*,*,2.3,*,*,0.9,*,*,3.2,*,*,3.3,,,,,,,,,,,,,
,750,*,*,2.3,*,*,0.9,*,*,3.2,*,*,3.3,,,,,,,,,,,,,
77,,*,*,11.8,*,*,2.0,*,*,13.8,*,*,14.0,,,,,,,,,,,,,
,771,*,*,2.7,*,*,0.7,*,*,3.3,*,*,3.3,,,,,,,,,,,,,
,772,*,*,1.4,*,*,0.4,*,*,1.8,*,*,1.8,,,,,,,,,,,,,
,773,*,*,7.6,*,*,0.9,*,*,8.6,*,*,8.8,,,,,,,,,,,,,
,774,-,-,-,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
78,,0.1,45.4,45.6,-,17.4,17.5,0.2,62.9,63.0,0.2,64.0,64.2,,,,,,,,,,,,,
,781,*,*,7.9,*,*,3.6,*,*,11.5,*,*,12.2,,,,,,,,,,,,,
,782,*,*,37.5,*,*,13.8,*,*,51.3,*,*,51.7,,,,,,,,,,,,,
,783,-,0.2,0.2,-,0.1,0.1,-,0.2,0.2,-,0.3,0.3,,,,,,,,,,,,,
79,,-,4.4,4.4,0.1,1.3,1.4,0.1,5.7,5.8,0.1,6.0,6.1,,,,,,,,,,,,,
,791,-,4.3,4.3,-,1.2,1.2,-,5.5,5.5,-,5.9,5.9,,,,,,,,,,,,,
,799,-,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.2,0.3,,,,,,,,,,,,,
80,,*,*,8.5,*,*,1.3,*,*,9.8,*,*,10.4,,,,,,,,,,,,,
,801,-,8.2,8.2,-,1.2,1.2,-,9.3,9.3,-,9.9,9.9,,,,,,,,,,,,,
,802,*,*,0.3,*,*,0.1,*,*,0.4,*,*,0.5,,,,,,,,,,,,,
,803,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
81,,0.8,20.8,21.6,1.1,33.3,34.3,1.9,54.1,56.0,1.9,55.6,57.5,,,,,,,,,,,,,
,811,-,7.1,7.2,-,4.0,4.0,0.1,11.1,11.2,0.1,11.2,11.3,,,,,,,,,,,,,
,812,0.8,7.7,8.4,1.0,28.3,29.3,1.8,36.0,37.8,1.8,36.9,38.7,,,,,,,,,,,,,
,813,-,6.0,6.0,-,1.0,1.0,-,7.0,7.0,-,7.5,7.5,,,,,,,,,,,,,
82,,0.9,23.0,23.9,0.2,5.6,5.9,1.2,28.6,29.8,1.2,31.0,32.2,,,,,,,,,,,,,
,821,-,1.0,1.0,-,0.2,0.2,-,1.3,1.3,-,1.4,1.4,,,,,,,,,,,,,
,822,*,*,3.0,*,*,0.8,*,*,3.8,*,*,3.9,,,,,,,,,,,,,
,823,*,*,1.8,*,*,0.5,*,*,2.3,*,*,2.4,,,,,,,,,,,,,
,829,-,18.0,18.0,-,4.4,4.4,-,22.4,22.4,-,24.5,24.5,,,,,,,,,,,,,
84,,81.2,0.3,81.5,27.2,0.6,27.9,108.4,1.0,109.4,108.4,1.0,109.4,,,,,,,,,,,,,
,841,40.4,0.1,40.5,18.6,-,18.7,59.0,0.1,59.2,59.0,0.1,59.2,,,,,,,,,,,,,
,842,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,
,843,*,-,*,*,-,*,*,-,*,*,-,*,,,,,,,,,,,,,
85,,82.2,38.3,120.5,108.2,21.0,129.2,190.4,59.3,249.7,190.7,61.1,251.8,,,,,,,,,,,,,
,851,1.0,0.8,1.8,1.3,0.8,2.0,2.2,1.6,3.8,2.2,1.8,4.0,,,,,,,,,,,,,
,852,37.0,3.8,40.7,65.6,3.1,68.7,102.5,6.9,109.4,102.6,7.2,109.8,,,,,,,,,,,,,
,853,35.4,6.8,42.1,30.6,4.4,35.0,66.0,11.1,77.1,66.3,11.5,77.8,,,,,,,,,,,,,
,854,4.3,18.3,22.5,3.8,7.9,11.7,8.1,26.2,34.3,8.1,26.3,34.4,,,,,,,,,,,,,
,855,4.6,8.5,13.1,6.9,4.8,11.6,11.4,13.3,24.7,11.5,14.1,25.6,,,,,,,,,,,,,
,856,-,0.2,0.2,-,0.1,0.1,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
86,,81.0,22.7,103.7,48.3,29.6,77.9,129.2,52.3,181.6,129.2,58.9,188.1,,,,,,,,,,,,,
,861,67.4,8.8,76.2,39.4,6.4,45.9,106.8,15.3,122.1,106.8,15.3,122.1,,,,,,,,,,,,,
,862,0.2,9.8,9.9,0.3,18.3,18.6,0.5,28.1,28.6,0.5,34.0,34.5,,,,,,,,,,,,,
,869,13.4,4.2,17.5,8.6,4.8,13.4,21.9,9.0,30.9,21.9,9.6,31.5,,,,,,,,,,,,,
87,,2.7,30.8,33.5,3.2,26.1,29.3,5.9,56.9,62.8,5.9,57.7,63.7,,,,,,,,,,,,,
,871,0.3,8.7,9.0,0.4,5.9,6.4,0.8,14.6,15.4,0.8,14.7,15.4,,,,,,,,,,,,,
,872,0.5,2.5,3.0,0.2,1.6,1.8,0.7,4.1,4.8,0.7,4.3,5.0,,,,,,,,,,,,,
,873,0.9,9.6,10.4,1.5,10.7,12.2,2.4,20.3,22.7,2.4,20.8,23.2,,,,,,,,,,,,,
,879,1.0,10.1,11.1,1.1,7.8,8.9,2.1,17.9,20.0,2.1,17.9,20.0,,,,,,,,,,,,,
88,,11.6,20.4,32.0,9.7,22.3,32.0,21.3,42.7,64.0,21.3,43.3,64.6,,,,,,,,,,,,,
,881,0.9,8.4,9.3,0.9,10.2,11.1,1.8,18.5,20.4,1.8,18.6,20.4,,,,,,,,,,,,,
,889,10.7,12.1,22.8,8.7,12.1,20.8,19.5,24.1,43.6,19.5,24.7,44.1,,,,,,,,,,,,,
90,,0.2,1.5,1.8,0.3,1.8,2.1,0.6,3.3,3.8,0.6,4.8,5.3,,,,,,,,,,,,,
,900,0.2,1.5,1.8,0.3,1.8,2.1,0.6,3.3,3.8,0.6,4.8,5.3,,,,,,,,,,,,,
91,,2.1,1.3,3.3,2.8,1.3,4.1,4.8,2.6,7.4,4.8,2.6,7.5,,,,,,,,,,,,,
,910,2.1,1.3,3.3,2.8,1.3,4.1,4.8,2.6,7.4,4.8,2.6,7.5,,,,,,,,,,,,,
92,,0.2,5.4,5.6,0.3,3.7,4.1,0.5,9.1,9.6,0.5,9.1,9.6,,,,,,,,,,,,,
,920,0.2,5.4,5.6,0.3,3.7,4.1,0.5,9.1,9.6,0.5,9.1,9.6,,,,,,,,,,,,,
93,,1.6,12.7,14.3,2.8,16.2,19.1,4.4,28.9,33.3,4.4,29.9,34.3,,,,,,,,,,,,,
,931,1.4,7.0,8.3,2.4,15.1,17.5,3.8,22.1,25.9,3.8,22.6,26.4,,,,,,,,,,,,,
,932,0.2,5.7,5.9,0.4,1.1,1.5,0.7,6.8,7.5,0.7,7.3,7.9,,,,,,,,,,,,,
94,,1.3,8.0,9.3,1.2,6.1,7.3,2.5,14.1,16.6,2.5,14.4,16.9,,,,,,,,,,,,,
,941,*,*,2.4,*,*,1.1,*,*,3.4,*,*,3.7,,,,,,,,,,,,,
,942,-,0.9,0.9,-,0.3,0.3,-,1.2,1.2,-,1.2,1.2,,,,,,,,,,,,,
,949,*,*,6.0,*,*,5.9,*,*,12.0,*,*,12.0,,,,,,,,,,,,,
95,,0.2,2.5,2.8,-,0.1,0.1,0.3,2.6,2.9,0.3,2.9,3.2,,,,,,,,,,,,,
,951,0.2,2.2,2.4,-,0.1,0.1,0.3,2.2,2.5,0.3,2.4,2.6,,,,,,,,,,,,,
,952,-,0.4,0.4,-,-,-,-,0.4,0.4,-,0.5,0.5,,,,,,,,,,,,,
96,,0.3,9.5,9.7,0.2,9.2,9.3,0.4,18.7,19.1,0.4,22.3,22.8,,,,,,,,,,,,,
,960,0.3,9.5,9.7,0.2,9.2,9.3,0.4,18.7,19.1,0.4,22.3,22.8,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Employment is defined as employees plus working proprietors,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Figures may not add up due to rounding. Figures are rounded to the nearest thousand and to one decimal place. For example 2.4 is equal to 2,400, and represents a figure in the range 2,350 - 2,449.",,,,,,,,,,,,,,,,,,,,,,,,,,
3. Cells containing an asterisk (*) represent disclosive data that cannot be published.,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Cells containing a hyphen (-) represent a zero or less than 50.,,,,,,,,,,,,,,,,,,,,,,,,,,
*01 includes farm agriculture data. Farm agriculture estimates are not available below this level so estimates at a 3-digit level only include non-farm agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,