Business Register and Employment Survey : open access,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 30 September 2016],,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
date,2015,,,,,,,,,,,,,,,,,,,,,
employment status,Employment,,,,,,,,,,,,,,,,,,,,,
measure,Count,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Industry,East,,East Midlands,,London,,North East,,North West,,Scotland,,South East,,South West,,Wales,,West Midlands,,Yorkshire and The Humber,
,number,Flags,number,Flags,number,Flags,number,Flags,number,Flags,number,Flags,number,Flags,number,Flags,number,Flags,number,Flags,number,Flags
"01 : Crop and animal production, hunting and related service activities","43,000",,"36,000",,"1,250",,"11,000",,"36,000",,"67,000",,"51,000",,"68,000",,"59,000",,"45,000",,"33,000",
02 : Forestry and logging,800,,900,,600,,300,,"1,000",,"3,500",,"4,000",,"2,250",,"1,500",,"1,750",,300,
03 : Fishing and aquaculture,175,,75,,100,,150,,400,,"4,500",,"1,000",,"1,500",,350,,150,,150,
05 : Mining of coal and lignite,0,,75,,0,,200,,0,,225,,0,,0,,600,,0,,900,
06 : Extraction of crude petroleum and natural gas,400,,175,,"2,500",,200,,300,,"11,000",,"1,000",,150,,5,,0,,50,
07 : Mining of metal ores,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08 : Other mining and quarrying,800,,"5,000",,350,,"1,500",,"1,000",,"2,250",,"1,250",,"3,500",,800,,"1,000",,"1,250",
09 : Mining support service activities,450,,500,,300,,25,,150,,"21,000",,125,,225,,150,,75,,350,
10 : Manufacture of food products,"27,000",,"56,000",,"26,000",,"10,000",,"49,000",,"34,000",,"22,000",,"31,000",,"23,000",,"32,000",,"47,000",
11 : Manufacture of beverages,"4,500",,"1,750",,"1,750",,"1,250",,"3,000",,"11,000",,"2,000",,"2,500",,"1,250",,"3,500",,"4,500",
12 : Manufacture of tobacco products,20,,400,,0,,0,,40,,0,,0,,150,,0,,0,,20,
13 : Manufacture of textiles,"2,500",,"6,000",,"2,250",,"2,250",,"12,000",,"4,500",,"2,500",,"3,000",,"1,000",,"2,500",,"9,000",
14 : Manufacture of wearing apparel,800,,"6,000",,"11,000",,"1,000",,"1,750",,"3,000",,"1,500",,900,,600,,"2,000",,"1,250",
15 : Manufacture of leather and related products,600,,"2,000",,400,,0,,"1,000",,800,,175,,"1,500",,50,,700,,100,
"16 : Manufacture of wood and of products of wood and cork, except furniture;manufacture of articles of straw and plaiting materials","6,000",,"8,000",,"2,000",,"2,500",,"5,000",,"7,000",,"6,000",,"5,000",,"3,000",,"9,000",,"11,000",
17 : Manufacture of paper and paper products,"4,500",,"8,000",,450,,"3,500",,"12,000",,"4,500",,"5,000",,"4,500",,"3,000",,"3,000",,"5,000",
18 : Printing and reproduction of recorded media,"10,000",,"13,000",,"16,000",,"8,000",,"10,000",,"4,500",,"16,000",,"8,000",,"6,000",,"8,000",,"14,000",
19 : Manufacture of coke and refined petroleum products,125,,125,,20,,125,,"1,500",,"1,250",,"1,500",,300,,600,,700,,"2,250",
20 : Manufacture of chemicals and chemical products,"8,000",,"6,000",,"3,000",,"9,000",,"20,000",,"6,000",,"11,000",,"5,000",,"6,000",,"7,000",,"12,000",
21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations,"4,500",,"2,250",,"2,000",,"2,500",,"6,000",,"3,000",,"5,000",,"2,250",,"2,250",,200,,"3,500",
22 : Manufacture of rubber and plastic products,"17,000",,"22,000",,"7,000",,"7,000",,"24,000",,"9,000",,"13,000",,"13,000",,"8,000",,"20,000",,"18,000",
23 : Manufacture of other non-metallic mineral products,"5,000",,"11,000",,"3,000",,"2,500",,"8,000",,"5,000",,"9,000",,"3,000",,"3,500",,"13,000",,"11,000",
24 : Manufacture of basic metals,"2,250",,"4,500",,600,,"2,250",,"15,000",,"1,750",,"1,750",,"2,250",,"10,000",,"12,000",,"13,000",
"25 : Manufacture of fabricated metal products, except machinery and equipment","27,000",,"34,000",,"9,000",,"16,000",,"34,000",,"21,000",,"39,000",,"24,000",,"18,000",,"58,000",,"36,000",
"26 : Manufacture of computer, electronic and optical products","15,000",,"10,000",,"3,500",,"2,500",,"10,000",,"11,000",,"22,000",,"11,000",,"5,000",,"7,000",,"7,000",
27 : Manufacture of electrical equipment,"7,000",,"8,000",,"1,750",,"6,000",,"12,000",,"4,000",,"13,000",,"12,000",,"7,000",,"9,000",,"9,000",
28 : Manufacture of machinery and equipment n.e.c.,"21,000",,"20,000",,"4,500",,"12,000",,"16,000",,"16,000",,"22,000",,"18,000",,"5,000",,"25,000",,"18,000",
"29 : Manufacture of motor vehicles, trailers and semi-trailers","9,000",,"9,000",,"4,500",,"14,000",,"20,000",,"3,500",,"13,000",,"9,000",,"10,000",,"52,000",,"12,000",
30 : Manufacture of other transport equipment,"9,000",,"18,000",,900,,"1,750",,"24,000",,"9,000",,"12,000",,"32,000",,"11,000",,"8,000",,"1,750",
31 : Manufacture of furniture,"7,000",,"12,000",,"5,000",,"6,000",,"8,000",,"3,000",,"6,000",,"8,000",,"3,500",,"6,000",,"15,000",
32 : Other manufacturing,"10,000",,"5,000",,"5,000",,"4,000",,"6,000",,"5,000",,"17,000",,"6,000",,"10,000",,"7,000",,"7,000",
33 : Repair and installation of machinery and equipment,"10,000",,"10,000",,"7,000",,"4,500",,"9,000",,"15,000",,"15,000",,"10,000",,"8,000",,"11,000",,"12,000",
"35 : Electricity, gas, steam and air conditioning supply","5,000",,"17,000",,"9,000",,"4,500",,"12,000",,"18,000",,"17,000",,"8,000",,"11,000",,"13,000",,"10,000",
"36 : Water collection, treatment and supply","4,500",,"2,250",,900,,"2,500",,"1,250",,"3,500",,"4,500",,"4,000",,"2,250",,"4,500",,"3,500",
37 : Sewerage,"6,000",,"1,250",,"3,500",,250,,"2,250",,"1,250",,"4,000",,"2,000",,"1,000",,"1,250",,900,
"38 : Waste collection, treatment and disposal activities; materials recovery","13,000",,"9,000",,"11,000",,"3,500",,"18,000",,"12,000",,"17,000",,"11,000",,"9,000",,"11,000",,"10,000",
"39 : Remediation activities and other waste management services. This division includes the provision of remediation services, i.e. the cleanup of contaminated buildings and sites, soil, surface or ground water.","1,000",,250,,250,,400,,900,,450,,800,,200,,600,,"1,250",,125,
41 : Construction of buildings,"54,000",,"25,000",,"58,000",,"16,000",,"36,000",,"39,000",,"67,000",,"35,000",,"16,000",,"36,000",,"34,000",
42 : Civil engineering,"24,000",,"17,000",,"25,000",,"7,000",,"26,000",,"19,000",,"17,000",,"13,000",,"11,000",,"10,000",,"17,000",
43 : Specialised construction activities,"88,000",,"65,000",,"62,000",,"29,000",,"83,000",,"79,000",,"115,000",,"79,000",,"29,000",,"85,000",,"58,000",
45 : Wholesale and retail trade and repair of motor vehicles and motorcycles,"69,000",,"43,000",,"42,000",,"20,000",,"48,000",,"46,000",,"84,000",,"63,000",,"27,000",,"56,000",,"45,000",
"46 : Wholesale trade, except of motor vehicles and motorcycles","119,000",,"93,000",,"151,000",,"28,000",,"140,000",,"79,000",,"198,000",,"91,000",,"34,000",,"132,000",,"103,000",
"47 : Retail trade, except of motor vehicles and motorcycles","290,000",,"217,000",,"437,000",,"108,000",,"346,000",,"244,000",,"415,000",,"264,000",,"137,000",,"234,000",,"223,000",
49 : Land transport and transport via pipelines,"49,000",,"40,000",,"95,000",,"21,000",,"60,000",,"45,000",,"59,000",,"44,000",,"25,000",,"55,000",,"50,000",
50 : Water transport,900,,20,,"6,000",,450,,"1,250",,"2,250",,"3,500",,"1,500",,"1,000",,0,,700,
51 : Air transport,"5,000",,"1,750",,"37,000",,"1,750",,"7,000",,"4,000",,"12,000",,"2,000",,500,,"1,750",,"3,000",
52 : Warehousing and support activities for transportation,"46,000",,"43,000",,"61,000",,"13,000",,"55,000",,"35,000",,"76,000",,"32,000",,"11,000",,"55,000",,"47,000",
53 : Postal and courier activities,"22,000",,"20,000",,"29,000",,"8,000",,"26,000",,"19,000",,"33,000",,"27,000",,"8,000",,"36,000",,"18,000",
55 : Accommodation,"32,000",,"25,000",,"64,000",,"16,000",,"52,000",,"60,000",,"59,000",,"57,000",,"29,000",,"26,000",,"25,000",
56 : Food and beverage service activities,"142,000",,"92,000",,"313,000",,"64,000",,"186,000",,"145,000",,"248,000",,"143,000",,"71,000",,"131,000",,"131,000",
58 : Publishing activities,"17,000",,"3,000",,"56,000",,"3,000",,"8,000",,"5,000",,"29,000",,"6,000",,"2,250",,"3,000",,"5,000",
"59 : Motion picture, video and television programme production, sound recording and music publishing activities","11,000",,"1,750",,"57,000",,"2,000",,"4,500",,"5,000",,"12,000",,"4,500",,"3,500",,"4,000",,"2,250",
60 : Programming and broadcasting activities,175,,400,,"28,000",,200,,"3,500",,500,,"1,500",,400,,700,,900,,600,
61 : Telecommunications,"15,000",,"7,000",,"41,000",,"10,000",,"30,000",,"16,000",,"50,000",,"16,000",,"5,000",,"10,000",,"13,000",
"62 : Computer programming, consultancy and related activities","54,000",,"28,000",,"173,000",,"16,000",,"54,000",,"34,000",,"152,000",,"34,000",,"8,000",,"43,000",,"27,000",
63 : Information service activities,"6,000",,"5,000",,"32,000",,"1,500",,"4,500",,"1,750",,"11,000",,"8,000",,450,,"1,750",,"3,000",
"64 : Financial service activities, except insurance and pension funding","21,000",,"19,000",,"180,000",,"16,000",,"45,000",,"49,000",,"43,000",,"39,000",,"14,000",,"32,000",,"42,000",
"65 : Insurance, reinsurance and pension funding, except compulsory social security","7,000",,"1,250",,"18,000",,"1,750",,"10,000",,"10,000",,"25,000",,"8,000",,"7,000",,"7,000",,"3,500",
66 : Activities auxiliary to financial services and insurance activities,"33,000",,"15,000",,"164,000",,"6,000",,"28,000",,"27,000",,"51,000",,"32,000",,"8,000",,"26,000",,"35,000",
68 : Real estate activities,"43,000",,"26,000",,"139,000",,"19,000",,"55,000",,"34,000",,"77,000",,"46,000",,"19,000",,"41,000",,"35,000",
69 : Legal and accounting activities,"56,000",,"28,000",,"207,000",,"16,000",,"90,000",,"41,000",,"87,000",,"55,000",,"19,000",,"44,000",,"39,000",
70 : Activities of head offices; management consultancy activities,"66,000",,"41,000",,"265,000",,"12,000",,"59,000",,"33,000",,"120,000",,"43,000",,"11,000",,"51,000",,"40,000",
71 : Architectural and engineering activities; technical testing and analysis,"44,000",,"31,000",,"91,000",,"32,000",,"48,000",,"58,000",,"66,000",,"55,000",,"22,000",,"42,000",,"35,000",
72 : Scientific research and development,"31,000",,"4,000",,"18,000",,"5,000",,"6,000",,"13,000",,"38,000",,"9,000",,"2,250",,"3,000",,"6,000",
73 : Advertising and market research,"10,000",,"4,000",,"78,000",,"2,250",,"12,000",,"6,000",,"32,000",,"8,000",,"1,000",,"7,000",,"20,000",
"74 : Other professional, scientific and technical activities","17,000",,"16,000",,"45,000",,"2,500",,"14,000",,"10,000",,"26,000",,"14,000",,"4,500",,"16,000",,"11,000",
75 : Veterinary activities,"6,000",,"3,500",,"4,000",,"1,250",,"6,000",,"6,000",,"9,000",,"11,000",,"6,000",,"3,000",,"6,000",
77 : Rental and leasing activities,"24,000",,"12,000",,"18,000",,"4,000",,"21,000",,"16,000",,"24,000",,"13,000",,"6,000",,"16,000",,"17,000",
78 : Employment activities,"110,000",,"109,000",,"179,000",,"25,000",,"93,000",,"45,000",,"113,000",,"54,000",,"28,000",,"89,000",,"84,000",
"79 : Travel agency, tour operator and other reservation service and related activities","6,000",,"6,000",,"26,000",,"3,000",,"11,000",,"7,000",,"12,000",,"6,000",,"3,000",,"8,000",,"5,000",
80 : Security and investigation activities,"11,000",,"10,000",,"65,000",,"5,000",,"23,000",,"13,000",,"21,000",,"12,000",,"5,000",,"11,000",,"16,000",
81 : Services to buildings and landscape activities,"84,000",,"34,000",,"148,000",,"22,000",,"73,000",,"68,000",,"100,000",,"46,000",,"22,000",,"51,000",,"51,000",
"82 : Office administrative, office support and other business support activities","35,000",,"38,000",,"114,000",,"19,000",,"58,000",,"35,000",,"52,000",,"39,000",,"13,000",,"32,000",,"48,000",
84 : Public administration and defence; compulsory social security,"87,000",,"75,000",,"216,000",,"67,000",,"146,000",,"152,000",,"132,000",,"96,000",,"86,000",,"96,000",,"106,000",
85 : Education,"235,000",,"188,000",,"387,000",,"118,000",,"279,000",,"194,000",,"420,000",,"212,000",,"125,000",,"231,000",,"236,000",
86 : Human health activities,"169,000",,"154,000",,"306,000",,"101,000",,"267,000",,"239,000",,"290,000",,"195,000",,"110,000",,"184,000",,"185,000",
87 : Residential care activities,"69,000",,"50,000",,"62,000",,"31,000",,"90,000",,"65,000",,"118,000",,"78,000",,"43,000",,"59,000",,"57,000",
88 : Social work activities without accommodation,"78,000",,"53,000",,"141,000",,"37,000",,"104,000",,"109,000",,"113,000",,"77,000",,"45,000",,"64,000",,"86,000",
"90 : Creative, arts and entertainment activities","3,500",,"4,000",,"40,000",,"3,000",,"8,000",,"6,000",,"10,000",,"7,000",,"4,000",,"6,000",,"4,000",
"91 : Libraries, archives, museums and other cultural activities","8,000",,"5,000",,"19,000",,"4,500",,"9,000",,"12,000",,"12,000",,"8,000",,"4,000",,"7,000",,"7,000",
92 : Gambling and betting activities,"8,000",,"5,000",,"20,000",,"6,000",,"13,000",,"9,000",,"8,000",,"4,000",,"3,500",,"9,000",,"9,000",
93 : Sports activities and amusement and recreation activities,"41,000",,"29,000",,"57,000",,"10,000",,"48,000",,"39,000",,"73,000",,"35,000",,"23,000",,"36,000",,"40,000",
94 : Activities of membership organisations,"23,000",,"15,000",,"62,000",,"12,000",,"22,000",,"14,000",,"34,000",,"19,000",,"7,000",,"18,000",,"13,000",
95 : Repair of computers and personal and household goods,"13,000",,"3,500",,"5,000",,"1,250",,"7,000",,"3,500",,"10,000",,"4,000",,600,,"4,500",,700,
96 : Other personal service activities,"29,000",,"20,000",,"47,000",,"8,000",,"35,000",,"24,000",,"51,000",,"25,000",,"13,000",,"31,000",,"18,000",
97 : Activities of households as employers of domestic personnel,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
98 : Undifferentiated goods- and services-producing activities of private households for own use,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
99 : Activities of extraterritorial organisations and bodies,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Column Total,"2,694,000",,"2,069,000",,"5,037,000",,"1,098,000",,"3,235,000",,"2,541,000",,"4,166,000",,"2,486,000",,"1,306,000",,"2,523,000",,"2,392,000",